Ingrediente,Descripción SAP,Código DIA,ID WOE,Cruce SAP,Cruce Formato
RB Bitter Campari 750Ml,RB Bitter Campari 750Ml,,,review,ok
RB Bitter Lavanda 125Ml,RB Bitter Lavanda 125Ml,,,review,ok
RB Averna Amaro,RB Averna Amaro,,,review,ok
COR23 SS16 ThruL,41115 C2P CORE SS TMBLR DR TH BANDE 16OZ,14921,150098,ok,review
COR23 SS20Copper,COR23 SS20Copper,14922,,review,review
ZZZTiramisu,TIRAMISU CJ6PZAS90GR,15371,150109,ok,review
ZZZNesp ToffeNut,NESPRESSO TOFFEE NUT CJ12PAQ10PZAS,15260,149541,ok,review
ZZZBis Mini Croissant Cja/115 Pz,ZZZBis Mini Croissant Cja/115 Pz,,,review,review
ZZZBis Pan Mini De Chocolate Mar,ZZZBis Pan Mini De Chocolate Mar,,,review,review
R Indonesia Gunu,54313 C6B CAFE INDONESIA GUNUNG RB 250GR,15641,150123,ok,review
ZZZOrejitas De Pan (Palmerita) C,ZZZOrejitas De Pan (Palmerita) C,,,review,review
R TanzaniaMondul,60369 C6B CAFE TANZANIA MONDUL RB 50GR,15790,149690,ok,review
ZZZBarra Cacao,BARRA CHOCOLATE 58% CACAO CJ512PZAS40GR,15941,149741,ok,review
ZZZEnsalada Durazno,ENSALADA POLLO CJ2PZAS215GR,16074,149780,ok,review
ZZZPasta Oriental,ENSALADA PASTA ORIENTAL CJ4PZAS329GR,16075,149781,ok,review
COR25CoffeeBean,MONEDERO COFFEE BEAN CJ10PZAS,15996,149751,ok,review
ZZZSandwich Pechuga de Pollo y T,ZZZSandwich Pechuga de Pollo y T,,,review,review
SI25Vac24Stanley,64306 C1P S25 VAC TMBLR PEACH QUICK 24OZ,16172,149860,ok,review
SI25SS20Zoo,64299 C2P S25 TMBLR PEARL CHEETAH 20OZ,16130,149828,ok,review
SI25SSBTLZoo,64301 C2P S25 WTR BTL TWIST SIP ANI 20OZ,16169,149857,ok,review
SI25ReusMom,SI25ReusMom,53761,,review,ok
ZZZTejas Pistache,TEJAS PISTACHE CJ12PZAS42GR,16113,150159,ok,review
ZZZBebida Limon RTD,BEBIDA C/10% JUGO LIMON CJ6PZAS530ML,16240,150169,ok,review
COR25SS16Sus,COR25SS16Sus,15187,,review,ok
COR25Mug 16Sus,COR25Mug 16Sus,15189,,review,ok
SII25CC24FRLenco,67151 C2P S25 COLD CUP LENCO 24OZ,16181,149868,ok,review
Fl25SS20Grad,64298 C2P S25 SS TMBLR COLORS 20OZ,16168,149856,ok,review
ZZZPay Limón,KEY LIME PIE CJ6PZAS90GR,16365,149965,ok,review
Reusables SBX Genérico,Reusables SBX Genérico,53833,,review,ok
Tazas SBX Genérico,Tazas SBX Genérico,53834,,review,ok
CCupPlastic SBX Genérico,CCupPlastic SBX Genérico,53835,,review,ok
CCup Acero SBX Genérico,CCup Acero SBX Genérico,53836,,review,ok
Tumb acero SBX Genérico,Tumb acero SBX Genérico,53837,,review,ok
Tumb Plastic SBX Genérico,Tumb Plastic SBX Genérico,53838,,review,ok
Stanley SBX Genérico,Stanley SBX Genérico,53839,,review,ok
Llavero SBX Genérico,Llavero SBX Genérico,53840,,review,ok
Stoppers SBX Genérico,Stoppers SBX Genérico,53841,,review,ok
Tote bags SBX Genérico,Tote bags SBX Genérico,53842,,review,ok
